,index,Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Day,Feedback,correct
105,106,1,2,1,3,0.985,0.699,1,1,0
106,107,1,2,1,2,1.521,0.844,1,1,0
107,108,1,1,2,3,0.666,0.433,1,1,0
108,109,1,1,1,4,0.287,0.253,1,1,1
109,110,1,2,2,2,1.636,0.414,1,1,1
110,111,1,1,1,3,0.662,0.87,1,1,1
111,112,1,2,1,2,1.056,0.445,1,1,0
112,113,1,2,2,4,0.872,1.12,1,1,1
113,114,1,1,1,3,0.707,0.487,1,1,1
114,115,1,1,1,4,0.57,0.492,1,1,1
115,116,1,1,1,3,0.606,0.452,1,1,1
116,117,1,1,1,4,0.446,0.242,1,1,1
117,118,1,2,1,4,0.3,0.237,1,1,0
118,119,1,1,1,3,0.541,0.498,1,1,1
119,120,1,2,2,2,1.547,0.288,1,1,1
120,121,1,1,1,4,0.418,0.254,1,1,1
121,122,1,2,1,2,0.756,0.5,1,1,0
122,123,1,2,2,2,1.773,0.367,1,1,1
123,124,1,1,1,4,0.341,1.389,1,1,1
124,125,1,1,1,3,0.464,0.269,1,1,1
125,126,1,1,1,4,0.227,0.606,1,1,1
126,128,1,2,2,2,0.466,0.558,1,1,1
127,129,1,2,2,3,0.74,0.373,1,1,1
128,131,1,2,1,2,0.296,0.484,1,1,0
129,132,1,1,1,3,0.589,1.365,1,1,1
130,133,1,1,1,3,0.403,0.355,1,1,1
131,134,1,1,1,4,0.31,0.303,1,1,1
132,135,1,1,1,3,0.258,0.468,1,1,1
133,136,1,1,1,3,0.712,0.362,1,1,1
134,138,1,2,1,2,1.386,0.612,1,1,0
135,139,1,1,1,2,0.583,0.295,1,1,1
136,141,1,2,1,2,0.71,0.604,1,1,0
137,142,1,2,2,2,0.636,0.256,1,1,1
138,143,1,2,1,3,1.947,0.557,1,1,0
139,145,1,1,2,2,1.116,0.422,1,1,0
140,146,1,2,2,2,1.259,0.194,1,1,1
141,149,1,2,2,3,0.766,0.706,1,1,1
142,151,1,2,2,3,0.516,0.535,1,1,1
143,152,1,2,2,2,0.702,0.594,1,1,1
144,153,1,2,2,3,0.742,0.733,1,1,1
145,154,1,2,2,2,1.398,0.998,1,1,1
146,155,1,1,1,2,1.643,0.261,1,1,1
147,157,1,1,1,4,0.385,1.175,1,1,1
148,158,1,2,2,3,0.588,0.452,1,1,1
149,159,1,2,2,2,1.052,0.468,1,1,1
150,160,1,1,1,3,0.709,0.324,1,1,1
151,161,1,2,1,3,0.491,1.097,1,1,0
152,162,1,2,1,2,0.848,0.448,1,1,0
153,163,1,2,2,3,0.605,0.534,1,1,1
154,164,1,1,1,3,0.734,0.76,1,1,1
155,165,1,1,1,4,0.394,0.367,1,1,1
156,166,1,1,1,4,0.31,0.256,1,1,1
157,167,1,1,1,1,0.527,0.097,1,1,1
158,168,1,2,1,3,1.266,1.374,1,1,0
159,169,1,1,1,3,0.305,0.831,1,1,1
160,170,1,2,1,2,1.044,0.492,1,1,0
161,171,1,2,2,2,0.965,0.468,1,1,1
162,172,1,2,1,3,0.826,1.018,1,1,0
163,173,1,2,2,3,0.776,1.39,1,1,1
164,174,1,1,1,4,0.615,0.621,1,1,1
165,175,1,2,2,2,1.143,0.281,1,1,1
166,176,1,2,2,2,0.888,0.226,1,1,1
167,177,1,1,1,3,0.273,0.476,1,1,1
168,178,1,2,2,2,0.797,0.534,1,1,1
169,179,1,2,1,2,0.852,0.413,1,1,0
170,180,1,1,1,3,0.513,1.451,1,1,1
171,181,1,2,2,2,1.513,0.483,1,1,1
172,182,1,1,1,4,0.258,1.077,1,1,1
173,183,1,1,1,4,0.261,0.195,1,1,1
174,184,1,1,1,3,0.802,0.356,1,1,1
175,185,1,2,1,3,0.27,0.378,1,1,0
176,186,1,2,2,3,0.51,1.158,1,1,1
177,187,1,1,1,4,0.262,0.276,1,1,1
178,188,1,1,1,4,0.251,0.271,1,1,1
179,189,1,2,2,2,1.102,0.331,1,1,1
180,190,1,1,1,4,0.239,0.254,1,1,1
181,191,1,2,2,4,0.428,0.44,1,1,1
182,192,1,2,2,2,0.804,0.582,1,1,1
183,193,1,1,1,4,0.268,0.296,1,1,1
184,194,1,2,1,1,1.051,0.816,1,1,0
185,195,1,2,2,3,0.616,0.527,1,1,1
186,196,1,1,1,4,0.274,0.312,1,1,1
187,197,1,2,1,2,0.728,0.975,1,1,0
188,198,1,1,1,4,0.259,0.292,1,1,1
189,199,1,2,2,3,0.82,0.374,1,1,1
190,200,1,1,1,4,0.468,0.226,1,1,1
191,201,1,1,1,4,0.255,0.231,1,1,1
192,202,1,2,1,2,0.779,0.62,1,1,0
193,203,1,1,1,2,0.656,0.507,1,1,1
194,204,1,1,2,3,0.311,0.331,1,1,0
195,205,1,2,2,2,1.161,0.53,1,1,1
196,206,1,1,1,2,0.618,0.726,1,1,1
197,207,1,2,1,2,0.885,0.351,1,1,0
198,208,1,1,1,3,0.687,0.33,1,1,1
199,209,1,2,1,2,0.967,0.491,1,1,0
200,210,1,1,1,2,0.386,1.753,1,1,1
201,211,1,1,2,3,0.837,1.355,1,1,0
202,212,1,2,1,3,0.805,0.754,1,1,0
203,213,1,2,2,3,0.87,1.271,1,1,1
204,214,1,1,1,4,0.248,0.244,1,1,1
205,215,1,1,1,4,0.267,0.238,1,1,1
206,216,1,2,2,2,1.182,0.523,1,1,1
207,217,1,1,1,2,1.093,0.309,1,1,1
208,218,1,2,1,3,0.287,0.442,1,1,0
209,219,1,1,1,3,0.62,0.226,1,1,1
210,220,1,1,2,2,1.294,0.269,1,1,0
211,221,1,2,1,3,0.486,0.445,1,1,0
212,222,1,2,1,2,1.358,1.745,1,1,0
213,223,1,1,2,2,0.758,0.553,1,1,0
214,224,1,2,1,4,0.346,0.308,1,1,0
215,225,1,2,1,3,0.582,0.289,1,1,0
216,226,1,2,2,3,0.509,0.453,1,1,1
217,227,1,1,1,4,0.323,0.277,1,1,1
218,228,1,1,1,3,0.623,0.351,1,1,1
219,229,1,2,1,2,0.602,0.281,1,1,0
220,230,1,1,2,2,1.014,0.424,1,1,0
221,231,1,1,1,4,0.348,0.39,1,1,1
222,232,1,2,1,4,0.455,0.254,1,1,0
223,233,1,2,2,3,0.749,1.121,1,1,1
224,234,1,1,1,4,0.67,0.312,1,1,1
225,235,1,2,2,2,1.02,0.585,1,1,1
226,236,1,1,1,4,0.306,0.265,1,1,1
227,237,1,1,1,4,0.381,0.26,1,1,1
228,238,1,1,1,2,0.923,0.277,1,1,1
229,239,1,2,2,2,0.561,0.386,1,1,1
230,240,1,2,1,2,1.122,0.349,1,1,0
231,241,1,1,1,4,0.363,0.27,1,1,1
232,242,1,2,1,2,0.849,0.515,1,1,0
233,243,1,2,1,2,1.949,0.262,1,1,0
234,244,1,1,2,2,1.654,0.207,1,1,0
235,245,1,2,1,3,0.951,0.662,1,1,0
236,246,1,2,2,2,0.918,0.284,1,1,1
237,247,1,2,1,2,0.524,0.374,1,1,0
238,248,1,2,2,3,0.911,0.971,1,1,1
239,250,1,2,2,4,0.6,0.968,1,1,1
240,251,1,2,2,3,0.991,0.616,1,1,1
241,252,1,1,1,2,0.889,0.275,1,1,1
242,253,1,2,1,2,0.858,0.219,1,1,0
243,254,1,2,1,3,1.161,0.715,1,1,0
244,255,1,1,1,3,0.427,0.605,1,1,1
245,256,1,1,1,3,0.45,0.309,1,1,1
246,257,1,1,2,2,0.891,0.346,1,1,0
247,258,1,2,2,2,0.699,0.203,1,1,1
248,259,1,2,2,2,0.723,0.234,1,1,1
249,260,1,1,1,4,0.401,0.371,1,1,1
250,261,1,1,1,4,0.279,0.254,1,1,1
251,262,1,2,1,2,0.8,0.469,1,1,0
252,263,1,1,2,2,1.157,0.808,1,1,0
253,264,1,2,1,4,0.386,0.293,1,1,0
254,266,1,1,1,4,0.307,0.258,1,1,1
255,267,1,1,1,3,0.461,1.17,1,1,1
256,268,1,1,1,3,0.345,0.308,1,1,1
257,269,1,1,1,2,0.787,0.441,1,1,1
258,270,1,2,2,2,0.719,0.394,1,1,1
259,271,1,2,2,2,0.91,0.448,1,1,1
260,272,1,1,1,4,0.306,0.293,1,1,1
261,273,1,2,1,2,0.971,0.27,1,1,0
262,274,1,1,1,3,0.27,0.449,1,1,1
263,275,1,1,1,4,0.383,0.265,1,1,1
264,276,1,1,2,2,0.495,0.463,1,1,0
265,277,1,2,1,3,0.233,0.37,1,1,0
266,278,1,1,1,2,1.019,0.445,1,1,1
267,279,1,1,1,4,0.355,0.257,1,1,1
268,280,1,2,2,2,0.512,0.448,1,1,1
269,281,1,1,1,3,0.265,0.358,1,1,1
270,282,1,2,2,2,0.658,0.246,1,1,1
271,283,1,1,1,2,0.362,0.332,1,1,1
272,284,1,2,2,2,0.834,0.71,1,1,1
273,285,1,1,2,3,0.502,0.221,1,1,0
274,286,1,1,1,4,0.473,0.277,1,1,1
275,287,1,2,2,2,0.63,1.421,1,1,1
276,288,1,2,2,2,0.453,0.257,1,1,1
277,289,1,2,2,3,0.566,0.492,1,1,1
278,290,1,1,1,2,0.923,0.417,1,1,1
279,291,1,1,2,2,0.547,0.297,1,1,0
280,292,1,2,2,3,0.476,1.132,1,1,1
281,293,1,1,1,3,0.482,0.381,1,1,1
282,294,1,2,2,3,0.543,0.269,1,1,1
283,295,1,1,1,4,0.442,0.351,1,1,1
284,296,1,1,2,2,0.518,0.725,1,1,0
285,297,1,2,2,3,0.473,0.897,1,1,1
286,298,1,1,1,2,0.577,0.483,1,1,1
287,299,1,2,2,2,1.103,0.371,1,1,1
288,300,1,1,1,4,0.461,0.304,1,1,1
289,301,1,1,1,3,0.554,0.631,1,1,1
290,302,1,2,1,2,1.492,0.375,1,1,0
291,303,1,1,1,3,0.755,0.592,1,1,1
292,304,1,1,1,4,0.377,0.273,1,1,1
293,305,1,1,1,3,0.52,0.604,1,1,1
294,306,1,1,2,2,0.689,0.504,1,1,0
295,307,1,2,2,2,0.389,0.19,1,1,1
296,308,1,1,2,3,0.485,0.252,1,1,0
297,309,1,1,2,3,0.817,0.379,1,1,0
298,310,1,1,2,2,0.572,0.668,1,1,0
299,311,1,2,1,2,1.512,0.485,1,1,0
300,312,1,2,2,2,0.621,1.281,1,1,1
301,313,1,2,1,3,0.618,0.425,1,1,0
302,314,1,1,1,2,0.553,0.572,1,1,1
303,315,1,1,1,2,0.713,0.512,1,1,1
304,316,1,1,1,4,0.318,0.371,1,1,1
305,317,1,2,1,2,0.575,0.394,1,1,0
306,318,1,1,2,2,0.803,0.229,1,1,0
307,319,1,2,2,2,1.024,0.496,1,1,1
308,320,1,1,2,2,0.615,0.313,1,1,0
309,321,1,2,2,3,0.744,0.276,1,1,1
310,322,1,2,2,3,0.421,0.254,1,1,1
311,323,1,1,1,2,1.132,0.628,1,1,1
312,324,1,2,2,2,0.346,0.734,1,1,1
313,325,1,1,2,3,0.528,0.371,1,1,0
314,326,1,2,2,3,1.045,0.44,1,1,1
315,327,1,2,2,2,1.565,0.604,1,1,1
316,328,1,1,1,4,0.276,0.343,1,1,1
317,329,1,2,1,2,0.602,0.612,1,1,0
318,330,1,2,1,2,0.921,0.433,1,1,0
