ID,drift_rate,bound,non_dec,LL,AIC,BIC,cv_train,cv_test
0.0,1.0027265660895874,0.5410573570896162,0.08209148375869857,3416.346176085305,-6826.69235217061,-6796.218067466835,23858.083623096987,3876.1222582620344
1.0,0.5609088573002887,0.5687940233491185,0.1058899770354492,2325.3840188264126,-4644.768037652825,-4614.29375294905,17544.586301345727,2434.675144107142
2.0,1.034291313267508,0.6296103646558132,0.09305368705969455,3828.363626595598,-7650.727253191196,-7620.252968487421,26363.190689946045,4530.672738972118
3.0,0.8999489751288464,0.5313626787624947,0.09536845169686958,3808.9726708301864,-7611.945341660373,-7581.471056956598,28463.196788218404,4479.148507894639
4.0,0.9542653794159554,0.5960744545092916,0.08077147697767709,3846.4221052597923,-7686.8442105195845,-7656.369925815809,26231.97954728422,4250.303540194244
5.0,1.586437691049227,0.49562811355655817,0.0870579861109908,1609.7661345583713,-3213.5322691167426,-3183.0579844129675,9910.35972661417,1531.2238595292297
6.0,1.7177356391577863,0.5161966357027019,0.0908596988898634,1414.7973189130298,-2823.5946378260596,-2793.1203531222845,9053.675200081936,1534.2349236961388
7.0,0.8959835645209591,0.5216201004172693,0.07758783140512493,1956.116249030941,-3906.232498061882,-3875.758213358107,13073.213903003136,2105.3110838047737
8.0,1.3702084625820667,0.5025975557400236,0.11726928647667109,1090.399783192665,-2174.79956638533,-2144.3252816815548,7197.239612390309,1255.2983985664932
9.0,1.5168027768247274,0.5106796173970796,0.08003083379337522,1723.4502884941223,-3440.9005769882447,-3410.4262922844696,11068.13011315347,1878.122930272984
10.0,1.4895423033366397,0.5695720362400447,0.08261308627290917,2932.576275620958,-5859.152551241916,-5828.678266538141,20182.070652786955,3301.155107208795
11.0,1.087352439706148,0.4802215635865527,0.09306986877555543,3241.0707704362694,-6476.141540872539,-6445.667256168764,21859.457108197454,3685.76779348989
12.0,0.9068897242284296,0.4084881682983584,0.08294514268265116,2197.967286266344,-4389.934572532688,-4359.460287828913,16257.28453278657,2647.204369775948
13.0,0.9145357178943108,0.5692483288600955,0.0872989121543816,4177.048467920463,-8348.096935840926,-8317.622651137151,29843.69443866872,4974.115515220088
14.0,0.6600356241379921,0.5300181105736713,0.1072671227400874,3571.609650674504,-7137.219301349008,-7106.745016645233,24798.85257461692,4100.1874982314375
15.0,0.6993769932496762,0.47053926649989514,0.09489315828966499,3284.1943172264882,-6562.3886344529765,-6531.914349749201,22471.29096019312,3808.628294356471
16.0,1.4025540791644602,0.5724966320688112,0.0958105869311863,3353.865637438349,-6701.731274876698,-6671.256990172923,23706.0641351073,3916.633851020253
17.0,0.8463699677913282,0.48679124893290765,0.08028493519034277,3547.62781845994,-7089.25563691988,-7058.781352216105,24169.46181076486,3934.527128679978
18.0,0.7684987840100482,0.4750984925141317,0.08122726086942522,3503.0217982164077,-7000.043596432815,-6969.56931172904,22440.552239514847,3636.537173871093
19.0,0.995874404458482,0.5742956343093565,0.16671831605554188,3061.6378815156477,-6117.275763031295,-6086.80147832752,22157.146878638945,3796.0362496816447
20.0,1.0244881360142817,0.39500765037676216,0.08035423548319892,1570.266076643589,-3134.532153287178,-3104.057868583403,10576.455659655005,1739.8925808745214
21.0,1.3967313466598983,0.5741454215941298,0.07990354038945946,2213.3072219938135,-4420.614443987627,-4390.140159283852,15169.02555891933,2433.096900961035
22.0,1.0019963600823,0.5302977218840913,0.09175663279713211,2951.545969000329,-5897.091938000658,-5866.617653296883,19853.89793862305,3310.0679566117497
23.0,1.1045984345280395,0.44510116208573025,0.09083666040968344,1629.0704038958097,-3252.1408077916194,-3221.6665230878443,10795.24765075949,1654.0561005994489
