ID,drift_rate,bound,non_dec,LL,AIC,BIC,cv_train,cv_test
24.0,1.5728102202221947,0.5089236886834675,0.08316920538799194,2145.785232542391,-4285.570465084782,-4255.096180381007,14489.539277705986,2294.539890692989
25.0,0.8379525986802845,0.4901035007446016,0.08452129674311684,3161.227473068976,-6316.454946137952,-6285.980661434177,22962.8418714608,3763.8816439721822
26.0,1.1604650649349648,0.46365141069371907,0.07845998371157889,2657.763577240103,-5309.527154480206,-5279.052869776431,18213.351237639057,2948.945180833826
27.0,1.3455398139726096,0.558586034481628,0.07430995594933246,3642.2731926621746,-7278.546385324349,-7248.072100620574,25185.699590496635,4171.163714687737
28.0,1.5161400751458698,0.5328654827815137,0.07025855441058612,2618.3860645712643,-5230.772129142529,-5200.297844438754,17879.955743584906,2876.42070165637
29.0,0.6475246655279678,0.5282740496252067,0.07782747450190489,3345.765006740343,-6685.530013480686,-6655.055728776911,22957.988736173407,3824.8480476399964
30.0,1.2043786845758342,0.6489757989732091,0.182611546111901,3784.4079649231517,-7562.815929846303,-7532.341645142528,26170.80444820896,4455.654266493089
31.0,1.3192868425264463,0.4199552248262393,0.08864581105606376,2452.667424191109,-4899.334848382218,-4868.860563678443,17208.749946350996,2800.498930025143
32.0,1.8797307441198012,0.46191435362894756,0.08220975110497655,2110.796688071163,-4215.593376142326,-4185.119091438551,14049.284871296917,2286.398852988788
33.0,1.5366923444533211,0.6087395482242184,0.1643693572438288,1732.2801193106075,-3458.560238621215,-3428.08595391744,10520.607850638671,1748.559941995458
34.0,0.45995991786652607,0.4245106151448051,0.08646255395276681,74.44954124302524,-142.89908248605047,-112.42479778227555,54.167804842704356,-36.52450963959002
35.0,0.8964335143216957,0.5104228559742032,0.23246774431452102,2992.312497238909,-5978.624994477818,-5948.150709774043,21064.37375907013,3471.908881598646
36.0,1.0530306452262717,0.3853476162930438,0.08725028906142537,2256.962593882238,-4507.925187764476,-4477.4509030607005,14928.53081577774,2463.4628417450504
37.0,1.853763473326405,0.4700152845073557,0.08052555481144613,2457.3308655730716,-4908.661731146143,-4878.187446442368,16495.546872861796,2758.240478937443
38.0,0.9398754319489383,0.6459741527175185,0.08191623700183354,2483.1127641096546,-4960.225528219309,-4929.751243515534,17077.148516370296,2838.9838974651507
39.0,1.5541997268067296,0.5155339649071881,0.0918737041810398,2581.8937500251595,-5157.787500050319,-5127.313215346544,17181.871621512244,2778.554006519712
40.0,1.6216210707034129,0.4757094592719325,0.08265497474975916,1437.6675391512504,-2869.3350783025007,-2838.8607935987256,9361.795060381459,1592.0208969444247
41.0,0.9416142416193484,0.5261828367337988,0.16610207403446683,2436.1085126980915,-4866.217025396183,-4835.742740692408,16473.04723702627,2571.0462910148585
42.0,1.2783430769889068,0.6006122051598982,0.08399440252408549,3491.9983453744762,-6977.9966907489525,-6947.522406045177,23066.17800716084,3863.6104585988737
43.0,0.9071806398359478,0.49216363729758067,0.07751892978414834,2713.657823603847,-5421.315647207694,-5390.841362503919,18295.648145960015,2963.637396323421
44.0,0.6886961422421048,0.5736067615600489,0.09763424732081616,3766.0245821753283,-7526.049164350657,-7495.5748796468815,25926.771829496854,4327.072996959816
45.0,0.604058683631045,0.44230445718405653,0.07903980238671099,2531.170706686442,-5056.341413372884,-5025.867128669109,16636.420681866395,2803.2530981741143
46.0,1.3081908137571323,0.37248324843411357,0.08500253116129403,1346.588512658609,-2687.177025317218,-2656.702740613443,9225.536779010603,1557.867244934918
47.0,1.5210561601876451,0.5357871803422362,0.0747311575654416,1594.882563558017,-3183.765127116034,-3153.290842412259,12173.085291149724,1488.2476445630555
48.0,1.2544421350349482,0.607636794123746,0.08991304252546245,3210.1495716864347,-6414.299143372869,-6383.824858669094,21949.77642309979,3607.134706463485
49.0,1.1171556976594677,0.5289059077157312,0.12997181202167588,3556.550417770818,-7107.100835541636,-7076.626550837861,24986.49124942024,4338.635325066514
50.0,1.628614734570518,0.5252550335474693,0.08824309376331468,3050.711638343302,-6095.423276686604,-6064.948991982829,20813.872507631804,3468.3409212295664
51.0,1.3175302268334323,0.5720657749101494,0.09769733937976136,2995.4365960211094,-5984.873192042219,-5954.398907338444,20641.35162718206,3427.534934856734
52.0,0.5223539020240298,0.4293848608786858,0.07916174733865369,1946.7987671016717,-3887.5975342033435,-3857.1232494995684,12701.838375933166,2059.1851920253307
53.0,1.8291697387190677,0.4839398981289148,0.09919157042506258,714.5072269461145,-1423.014453892229,-1392.5401691884542,4398.318364916799,644.9276720959883
54.0,1.386065793252729,0.46582915470403485,0.0879256499389216,2909.6889784559626,-5813.377956911925,-5782.90367220815,19912.7252393105,3302.1000156433906
55.0,0.7750549192427932,0.5110341496522544,0.07566537097432025,3542.142899471884,-7078.285798943768,-7047.811514239993,23589.10669005355,4057.3699685735673
56.0,0.5444662553416876,0.6229020375465445,0.12964348470803116,4750.163307942688,-9494.326615885377,-9463.852331181602,33513.391149704854,5583.029622586926
57.0,1.1497907590135077,0.6395834514581744,0.08482380555835142,3054.4806453181372,-6102.9612906362745,-6072.487005932499,20481.62048206953,2991.1527403338723
58.0,1.0022490111772,0.5900213700686707,0.09461571881213485,3752.9786232742335,-7499.957246548467,-7469.482961844692,26229.076647957998,4463.7577380582525
59.0,1.6353196997690767,0.6079498657013979,0.0833903272387812,1909.0239642266008,-3812.0479284532016,-3781.5736437494265,13144.009060213903,2065.0466772238137
