ID,drift_rate,bound,non_dec,tau,CI1,CI2,CI3,confidence_noise,LL,AIC,BIC,cv_train,cv_test
0.0,1.0027821974027087,0.5421216574086564,0.08183870695483739,1.575427459474048,-0.07726103251709412,2.0118594534030025,3.506669611133436,0.07954127983630928,3284.3390231177755,6584.678046235551,6665.9428054456175,22929.965758322684,3899.9970992157205
1.0,0.5540359836457139,0.5588143606360134,0.10725368779625229,0.9359413436485302,-2.1290643199459467,-0.9073212901823953,5.221743029763552,0.4714109342390981,2390.1059572322815,4796.211914464563,4877.47667367463,17827.632622185105,3348.5673233777648
2.0,1.0345708107268878,0.6345958968132694,0.09098567526975208,1.9186470773991164,2.4401276131731318,3.3981598825056585,2.7426935783087405,0.7306474718321888,3770.8046549612222,7557.6093099224445,7638.874069132511,25955.627145331793,4579.2876426409475
3.0,0.899891120966057,0.5437683645374568,0.08901050777171227,2.3971266590288005,2.063575395373386,3.5316241266599597,2.974922693803303,0.6963900807932383,3764.4258975251178,7544.8517950502355,7626.116554260302,28244.641688650914,4864.110066060691
4.0,0.9544395775285133,0.598095808925919,0.07953211880503802,2.0803279421156256,-1.1722049662306673,1.7262766307920407,5.03748463773357,0.35485638991886614,3753.629110316798,7523.258220633596,7604.522979843662,25583.635060602937,4371.071793356618
5.0,1.5882199722838948,0.5010942142858132,0.08530743943197676,1.8169619834929525,-0.40333829406833904,0.39921601378478694,2.899314383351136,0.4907289247698261,1565.6990448168183,3147.3980896336366,3228.662848843703,9557.316609754726,1690.176233731729
6.0,1.7119471898382224,0.514457364421584,0.09069959401497123,0.7180536057358542,1.5617648312668124,5.561764831266812,6.162306564996824,1.5595907265935165,1432.276142703275,2880.55228540655,2961.8170446166164,9163.40260110105,1702.6019700417937
7.0,0.921845271746672,0.5183338628047968,0.08000484277715,3.7370235955838456,-3.715433973913349,-1.7625507381050805,5.952883235808269,0.4540111402291425,1941.0895202645997,3898.1790405291995,3979.443799739266,12952.241012804432,2280.281049770274
8.0,1.3709621904874636,0.5065054001566415,0.11552448563567584,1.1023421924354702,2.699757160370362,3.9583657296607626,2.298846801255933,0.0010046469194832377,1015.5065798260614,2047.0131596521228,2128.2779188621894,6707.232634075512,1277.111725980855
9.0,1.5192032288177928,0.5197750131278346,0.07652498164041316,1.0975614162527476,2.34935196762191,3.6085804912213413,4.642058423232406,0.0010066287561449753,1628.3084706069467,3272.6169412138934,3353.88170042396,10402.582172553874,1830.6894524568825
