ID,drift_rate,bound,non_dec,tau,CI1,CI2,CI3,confidence_noise,LL,AIC,BIC
0.0,1.033731446346517,0.5370436046621907,0.0814100793645163,1.1138150584945883,-0.32376656759004635,1.6849296099435278,3.4020462387383414,0.262859539071926,3872.598193634723,7761.196387269446,7809.65794082797
1.0,0.5839913918072329,0.5614753558791434,0.09657571173947113,1.7892906030096287,-1.7727986505819764,-0.37319809345961996,5.399600557122357,0.2429717150505823,3020.3216886803903,6056.6433773607805,6105.104930919305
2.0,1.004641760769878,0.6095422890665366,0.08274039493292121,1.1662038273612005,1.747378758916112,2.650834332409312,2.5892154744057363,0.9414357396848092,4346.941298512734,8709.882597025467,8758.344150583993
3.0,0.8342184114867212,0.5416869227341632,0.0884394429810301,1.9502467654944862,1.0229504243979777,2.80451745377713,3.7175233761462882,1.4870039919479046,4720.46427659312,9456.92855318624,9505.390106744766
4.0,0.9321124041218843,0.581109744207146,0.08060848016607536,0.9197984884419248,-2.2706344589690084,0.6703388559561603,5.154325096578853,0.833556230640729,4284.688986171391,8585.377972342782,8633.839525901307
5.0,1.665078005195631,0.497054608878201,0.08733071488953317,1.3656044306385555,-0.7969374974251081,-0.039213477675322794,2.723948856512073,0.4935742932097994,1649.2175132011484,3314.435026402297,3362.896579960822
6.0,1.7107035026110766,0.49396997907112133,0.08851053680215867,0.3076182720612604,0.8665607019752938,4.866560701975294,6.03775560089957,1.764699302406538,1538.738405625872,3093.476811251744,3141.938364810269
7.0,0.9323885998372391,0.502377086212902,0.07896172585113886,3.0,-4.0,-2.1203797275431064,5.83584515405792,0.4836706691715757,2173.898382418319,4363.796764836638,4412.258318395163
8.0,1.3537222780721487,0.4969022862550769,0.116052942376386,0.8177319113121112,2.3413267241655076,3.5923027189928005,2.272911397554137,0.13736544982457866,1155.1220909002552,2326.2441818005104,2374.7057353590353
9.0,1.5933203473846254,0.5043638379198945,0.07836949407099433,0.15549525529941358,0.9201523609999642,2.0810411761496512,3.2085384793062914,0.6071243334241007,1742.5775744004504,3501.155148800901,3549.6167023594257
10.0,1.5018672126555337,0.5725523266700803,0.08070806653090776,1.4199240093301895,-0.19917277539185937,1.5894129350223323,3.282631196977177,0.09796553514787149,3257.3321465945546,6530.664293189109,6579.125846747634
11.0,1.1332839395269683,0.47788866755214193,0.09095769281100499,0.9271162699033885,0.8568082237924206,2.070099318174156,2.5809738408818097,0.5154830970808277,3555.422637951151,7126.845275902302,7175.3068294608265
12.0,0.8242822220102638,0.4131444607274817,0.08335254702907505,1.5049435543003085,0.7111540583524594,2.1489273496074257,3.304569324723875,0.2866212559617432,2643.206797200891,5302.413594401782,5350.875147960306
13.0,0.9161007674057479,0.5771689634792192,0.08650847590123906,0.5476344396486469,-0.40965731892233603,0.7643255866732128,2.427362557334611,1.0270712886498206,4886.805562522689,9789.611125045378,9838.072678603903
14.0,0.6681000141291665,0.5303487266375917,0.10523118107420712,0.6902283722165325,0.6339739057348175,1.9201492061633334,4.538170106883961,1.94075023886749,4110.3551574866615,8236.710314973323,8285.171868531848
15.0,0.7207776073279932,0.4604118707201798,0.09627595072939207,1.143317874636298,0.16641417396378003,1.757425248205471,3.039021637075935,0.6929482206171745,3686.1572865639437,7388.314573127887,7436.776126686412
16.0,1.4231866161798985,0.5869170128706873,0.09296892269299398,0.7652949596226145,-0.4944424079348584,0.7493771730431993,2.7100259592286027,0.49964974916131816,3806.1078825013965,7628.215765002793,7676.677318561317
17.0,0.802510631162714,0.4762349396568904,0.08016341148629932,0.6981093205107902,-1.5954767572033777,0.3251499988735369,3.670163802720156,1.0793805192208334,3959.1536964686406,7934.307392937281,7982.768946495806
18.0,0.8042058933098942,0.4683514663570895,0.07778201419773695,0.03269338003074155,-2.2346273678274646,-0.19363478039574966,4.640797301669636,1.9602015780517585,3682.7084186919856,7381.416837383971,7429.878390942496
19.0,0.9302965951992888,0.599784223954377,0.13892688088480507,2.3788543822153603,0.23916208702397332,4.239162087023973,8.0,0.6497515037529659,3758.0461927135766,7532.092385427153,7580.553938985678
20.0,1.0023787131848747,0.39407850923489657,0.08008550048461704,1.7563426260096122,-2.2904315120465193,0.3451053540979281,4.983807364437355,0.3082799000731283,1820.086925578723,3656.173851157446,3704.6354047159707
21.0,1.4192472153497704,0.5624885490043651,0.07944864606640445,0.5883777943864952,-0.7962024454829207,1.8494793261813238,4.743274419312289,0.37058961226851983,2417.999265243704,4851.998530487408,4900.4600840459325
